Neighborhood,Id,FinishedBasement,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,Basement,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,BathTotal,KitchenAbvGr,TotRmsAbvGrd,GarageCars,WoodDeckSF,OpenPorchSF,LOG(Porch),EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,SalePrice,Zeros,YearBuilt2,YearsFromNow,LOG(YFN),OverallQual,OverallCond,ExterQual_NUM,ExterCond_NUM,KitchenQual_NUM,QUALITY,logqual,tot_porch
BrDale,433,1,471,0,294,1,765,765,600,1365,1,0,1,1,2,1.5,1,6,2,240,36,1.556302501,0,0,0,0,122500,6,1971,49,1.69019608,5,5,3,3,3,19,1.602059991,0
BrDale,501,1,356,0,316,1,672,672,546,1218,0,0,1,1,3,1.5,1,7,1,144,28,1.447158031,0,0,0,0,113000,7,1973,47,1.672097858,6,5,3,3,3,20,1.653212514,0
BrDale,656,0,0,0,525,1,525,525,567,1092,0,0,1,1,3,1.5,1,6,1,0,0,0.01,0,0,0,0,88000,11,1971,49,1.69019608,6,5,3,3,3,20,1.653212514,0
BrDale,838,1,330,0,153,1,483,483,504,987,1,0,1,1,2,1.5,1,5,1,0,0,0.01,0,0,0,0,100000,8,1973,47,1.672097858,6,5,3,3,3,20,1.653212514,0
BrDale,1030,1,317,0,355,1,672,672,546,1218,0,1,1,1,3,1.5,1,7,1,0,28,1.447158031,0,0,0,0,118000,7,1972,48,1.681241237,6,7,3,3,3,22,1.755874856,0
BrDale,1105,0,0,0,630,1,630,630,672,1302,0,0,2,1,3,2.5,1,6,2,0,0,0.01,0,0,0,0,106000,11,1970,50,1.698970004,5,5,3,3,3,19,1.602059991,0
BrDale,1220,0,0,0,672,1,672,672,546,1218,0,0,1,1,3,1.5,1,7,0,201,0,0.01,0,0,0,0,91500,11,1971,49,1.69019608,6,5,3,3,3,20,1.653212514,0
BrDale,1292,1,231,0,399,1,630,630,672,1302,0,0,2,1,3,2.5,1,6,1,185,0,0.01,0,0,0,0,119500,8,1972,48,1.681241237,5,7,3,3,3,21,1.698970004,0
BrDale,1335,1,765,0,0,1,765,765,600,1365,0,0,1,1,3,1.5,1,7,2,0,36,1.556302501,0,0,0,0,125000,9,1970,50,1.698970004,5,6,3,3,3,20,1.653212514,0
BrDale,1379,1,309,0,174,1,483,483,504,987,0,0,1,1,2,1.5,1,5,1,72,0,0.01,0,0,0,0,83000,8,1973,47,1.672097858,6,5,3,3,3,20,1.653212514,0
BrkSide,10,1,851,0,140,1,991,1077,0,1077,1,0,1,0,2,1,2,5,1,0,4,0.602059991,0,0,0,0,118000,9,1939,81,1.908485019,5,6,3,3,3,20,1.653212514,0
BrkSide,16,0,0,0,832,1,832,854,0,854,0,0,1,0,2,1,1,5,2,48,112,2.049218023,0,0,0,0,132000,11,1929,91,1.959041392,7,8,3,3,3,24,1.851258349,0
BrkSide,30,0,0,0,520,1,520,520,0,520,0,0,1,0,1,1,1,4,1,49,0,0.01,87,0,0,0,68500,11,1927,93,1.968482949,4,6,3,3,2,18,1.568201724,87
BrkSide,52,0,0,0,816,1,816,816,0,1176,0,0,1,0,3,1,1,6,2,112,0,0.01,0,0,0,0,114500,12,1934,86,1.934498451,6,6,3,3,3,21,1.707570176,0
BrkSide,78,1,336,41,295,1,672,1072,213,1285,1,0,1,0,2,1,1,6,1,0,0,0.01,0,0,0,0,127000,8,1948,72,1.857332496,5,5,3,3,3,19,1.602059991,0
BrkSide,147,1,209,0,506,1,715,875,0,875,1,0,1,0,2,1,1,5,1,48,0,0.01,0,0,0,0,105000,9,1931,89,1.949390007,5,7,3,3,3,21,1.698970004,0
BrkSide,150,0,0,0,896,1,896,896,448,1344,0,0,1,0,3,1,1,7,1,200,114,2.056904851,0,0,0,0,115000,10,1936,84,1.924279286,5,4,3,3,3,18,1.544068044,0
BrkSide,185,0,0,0,504,1,504,936,316,1252,0,0,1,0,3,1,1,5,2,104,0,0.01,0,0,0,0,127000,11,1908,112,2.049218023,5,8,3,3,3,22,1.740362689,0
BrkSide,251,0,0,0,728,1,728,1306,0,1306,0,0,1,0,3,1,1,6,0,263,0,0.01,0,0,0,0,76500,13,1940,80,1.903089987,3,2,3,1,2,11,1.113943352,0
BrkSide,276,0,0,0,952,1,952,952,596,1548,0,0,2,1,3,2.5,1,5,2,74,0,0.01,0,0,144,0,205000,9,1925,95,1.977723605,7,7,4,4,5,27,1.875061263,144
BrkSide,290,0,0,0,698,1,698,698,698,1396,0,0,1,0,3,1,1,7,1,0,0,0.01,0,0,259,0,153575,11,1915,105,2.021189299,6,7,3,3,3,22,1.755874856,259
BrkSide,329,0,0,0,844,1,844,1445,689,2134,0,0,2,0,5,2,1,10,2,0,60,1.77815125,268,0,0,0,214500,10,1916,104,2.017033339,6,6,3,3,4,22,1.72427587,268
BrkSide,346,0,0,0,972,1,972,972,605,1577,0,0,1,0,3,1,1,6,1,0,0,0.01,0,0,0,0,140200,12,1939,81,1.908485019,6,5,3,3,2,19,1.633468456,0
BrkSide,362,1,399,0,484,1,883,988,517,1505,1,0,1,0,3,1,1,8,1,0,0,0.01,0,0,0,0,145000,9,1940,80,1.903089987,5,5,3,3,3,19,1.602059991,0
BrkSide,394,1,266,0,522,1,788,788,0,788,0,0,1,0,2,1,1,4,0,0,0,0.01,0,0,0,0,100000,12,1941,79,1.897627091,4,5,3,3,3,18,1.544068044,0
BrkSide,438,0,0,0,884,1,884,904,0,904,0,0,1,0,2,1,1,4,1,0,0,0.01,105,0,0,0,119000,12,1926,94,1.973127854,6,7,4,3,3,23,1.77815125,105
BrkSide,443,0,0,0,1078,1,1078,1128,445,1573,0,0,2,0,3,2,1,8,2,0,0,0.01,0,0,0,0,162900,12,1930,90,1.954242509,5,7,3,3,3,21,1.698970004,0
BrkSide,460,1,185,0,524,1,709,979,224,1203,1,0,1,0,3,1,1,5,1,0,0,0.01,248,0,0,0,110000,8,1950,70,1.84509804,5,4,3,3,4,19,1.568201724,248
BrkSide,498,1,329,0,697,1,1026,1133,687,1820,1,0,2,0,4,2,1,8,1,0,100,2,0,0,0,0,184000,8,1925,95,1.977723605,7,6,3,4,3,23,1.77815125,0
BrkSide,523,1,399,0,605,1,1004,1004,660,1664,0,0,2,0,3,2,1,7,2,0,24,1.380211242,36,0,0,0,159000,8,1947,73,1.86332286,6,7,3,4,3,23,1.77815125,36
BrkSide,532,0,0,0,611,1,611,751,611,1362,0,0,2,0,3,2,1,6,2,0,0,0.01,84,0,0,0,128000,11,1920,100,2,6,8,3,3,3,23,1.799340549,84
BrkSide,534,0,0,0,0,0,0,334,0,334,0,0,1,0,1,1,1,2,0,0,0,0.01,0,0,0,0,39300,17,1946,74,1.86923172,1,3,2,2,2,10,1.041392685,0
BrkSide,547,1,300,0,765,1,1065,915,720,1635,0,0,1,1,3,1.5,1,6,2,0,38,1.579783597,0,144,0,0,210000,7,1923,97,1.986771734,6,7,3,3,3,22,1.755874856,144
BrkSide,556,0,0,0,993,1,993,1048,0,1048,0,0,1,0,2,1,1,5,1,0,0,0.01,116,0,0,0,113000,12,1922,98,1.991226076,5,6,3,3,3,20,1.653212514,116
BrkSide,585,0,0,0,884,1,884,989,584,1573,0,0,1,0,3,1,1,6,1,0,0,0.01,54,0,120,0,133000,10,1935,85,1.929418926,4,7,3,3,4,21,1.653212514,174
BrkSide,587,1,210,606,0,1,816,838,0,838,1,0,1,0,2,1,1,5,1,0,0,0.01,112,0,0,0,130000,9,1918,102,2.008600172,6,7,3,4,2,22,1.763427994,112
BrkSide,590,0,0,0,742,1,742,779,0,935,0,0,1,0,2,1,1,4,1,0,0,0.01,0,0,0,0,79500,13,1930,90,1.954242509,5,6,3,3,3,20,1.653212514,0
BrkSide,637,0,0,0,264,1,264,800,0,800,0,0,1,0,1,1,1,4,0,0,0,0.01,0,0,0,0,60000,14,1936,84,1.924279286,2,3,2,2,2,11,1.146128036,0
BrkSide,695,0,0,0,927,1,927,1067,472,1539,0,0,1,1,3,1.5,1,5,2,112,0,0.01,0,0,0,0,141500,10,1936,84,1.924279286,5,6,3,2,3,19,1.62324929,0
BrkSide,697,1,616,0,0,1,616,616,0,616,0,0,1,0,2,1,1,4,1,0,0,0.01,129,0,0,0,89000,11,1921,99,1.995635195,5,7,3,3,3,21,1.698970004,129
BrkSide,711,0,0,0,270,1,270,729,0,729,0,0,1,0,2,1,1,5,0,0,0,0.01,0,0,0,0,52000,14,1935,85,1.929418926,3,6,4,3,3,19,1.556302501,0
BrkSide,714,1,789,0,171,1,960,960,0,960,1,0,1,0,3,1,1,6,2,0,288,2.459392488,0,0,0,0,129000,9,1970,50,1.698970004,4,5,3,3,3,18,1.544068044,0
BrkSide,762,1,405,0,740,1,1145,1301,0,1301,0,0,1,0,2,1,1,5,2,0,0,0.01,0,0,0,0,100000,11,1924,96,1.982271233,5,5,3,3,2,18,1.579783597,0
BrkSide,808,1,1309,0,15,1,1324,1072,504,1576,2,0,1,1,3,1.5,1,6,2,0,312,2.494154594,0,0,0,0,223500,7,1923,97,1.986771734,5,6,3,3,4,21,1.672097858,0
BrkSide,827,1,784,0,0,1,784,784,0,784,1,0,1,0,2,1,1,5,0,0,0,0.01,116,0,0,0,109500,11,1924,96,1.982271233,5,6,3,3,4,21,1.672097858,116
BrkSide,913,1,489,0,279,1,768,1015,0,1015,0,0,1,0,3,1,1,6,1,0,0,0.01,112,0,120,0,88000,9,1925,95,1.977723605,5,7,3,3,3,21,1.698970004,232
BrkSide,936,0,0,0,600,1,600,747,0,747,0,0,1,0,1,1,1,5,2,0,0,0.01,32,0,0,0,79900,12,1926,94,1.973127854,4,5,3,4,3,19,1.579783597,32
BrkSide,961,1,696,0,162,1,858,858,0,858,1,0,1,0,2,1,1,4,0,117,0,0.01,0,0,0,0,116500,10,1958,62,1.792391689,5,7,3,4,3,22,1.72427587,0
BrkSide,975,0,0,0,728,1,728,1136,883,2019,0,0,1,0,3,1,1,8,2,509,135,2.130333768,0,0,0,0,167500,10,1910,110,2.041392685,7,8,3,4,4,26,1.880813592,0
BrkSide,977,0,0,0,440,1,440,869,0,869,0,0,1,0,2,1,1,4,0,0,0,0.01,0,0,0,0,85500,14,1923,97,1.986771734,4,7,3,3,2,19,1.612783857,0
BrkSide,996,1,384,0,363,1,747,774,456,1230,1,0,1,1,3,1.5,1,5,1,0,57,1.755874856,0,0,63,0,121600,6,1946,74,1.86923172,4,7,3,3,3,20,1.633468456,63
BrkSide,1099,1,672,0,0,1,672,757,567,1324,0,0,1,0,3,1,1,6,1,0,0,0.01,0,0,0,0,128000,11,1936,84,1.924279286,4,6,3,3,3,19,1.591064607,0
BrkSide,1136,0,0,0,960,1,960,986,0,986,0,0,1,0,2,1,1,5,1,0,128,2.10720997,0,0,0,0,102000,12,1926,94,1.973127854,6,5,3,3,3,20,1.653212514,0
BrkSide,1140,1,645,0,270,1,915,1167,0,1167,0,0,1,0,3,1,1,6,2,0,0,0.01,216,0,126,0,144000,9,1920,100,2,5,5,3,2,3,18,1.568201724,342
BrkSide,1146,0,0,0,1042,1,1042,1042,534,1576,0,0,1,0,3,1,1,8,1,0,0,0.01,0,0,0,0,149000,12,1928,92,1.963787827,5,6,3,3,3,20,1.653212514,0
BrkSide,1203,0,0,0,884,1,884,884,464,1348,1,0,1,0,3,1,1,5,1,0,0,0.01,208,0,0,0,117000,10,1925,95,1.977723605,5,8,3,3,3,22,1.740362689,208
BrkSide,1219,0,0,0,0,0,0,672,240,912,0,0,1,0,2,1,1,3,0,0,0,0.01,0,0,0,0,80500,16,1947,73,1.86332286,4,5,3,3,3,18,1.544068044,0
BrkSide,1256,1,425,0,459,1,884,959,408,1367,0,0,1,0,3,1,1,6,1,0,0,0.01,0,0,120,0,127500,9,1931,89,1.949390007,6,6,3,3,3,21,1.707570176,120
BrkSide,1264,0,0,0,764,1,764,1060,764,1824,0,0,1,0,3,1,1,8,2,0,0,0.01,126,0,0,0,180500,11,1919,101,2.004321374,6,6,3,3,3,21,1.707570176,126
BrkSide,1286,0,0,0,780,1,780,825,587,1412,0,0,1,0,4,1,1,6,1,45,0,0.01,0,0,0,0,132500,11,1939,81,1.908485019,6,6,3,2,3,20,1.681241237,0
BrkSide,1322,0,0,0,0,0,0,720,0,720,0,0,1,0,2,1,1,4,1,0,0,0.01,0,0,0,0,72500,16,1949,71,1.851258349,3,6,3,3,3,18,1.51851394,0
BrkSide,1324,1,280,0,140,1,420,708,0,708,0,0,1,0,2,1,1,5,0,164,0,0.01,0,0,0,0,82500,11,1940,80,1.903089987,4,7,2,3,2,18,1.579783597,0
BrkSide,1353,0,0,0,698,1,698,786,390,1176,0,0,1,0,2,1,1,4,2,210,0,0.01,0,0,0,0,134900,11,1937,83,1.919078092,6,9,4,3,3,25,1.857332496,0
BrkSide,1390,1,375,0,360,1,735,869,349,1218,0,1,1,0,3,1,1,6,2,0,0,0.01,0,0,0,0,131000,9,1941,79,1.897627091,6,6,3,4,3,22,1.73239376,0
BrkSide,1398,0,0,0,939,1,939,939,574,1513,0,0,1,1,4,1.5,1,8,1,24,0,0.01,150,0,0,0,137500,9,1920,100,2,5,8,3,3,3,22,1.740362689,150
BrkSide,1401,0,0,0,862,1,862,950,208,1158,0,0,1,0,3,1,1,5,1,0,0,0.01,112,0,0,0,120000,11,1929,91,1.959041392,6,7,3,3,3,22,1.755874856,112
BrkSide,1415,0,0,0,833,1,833,1053,795,1848,0,0,1,1,4,1.5,1,8,2,0,0,0.01,0,0,220,0,207000,10,1923,97,1.986771734,6,7,3,3,4,23,1.770852012,220
BrkSide,1444,0,0,0,952,1,952,952,0,952,0,0,1,0,2,1,1,4,1,0,98,1.991226076,0,0,40,0,121000,11,1916,104,2.017033339,6,6,3,3,2,20,1.69019608,40
ClearCr,70,1,603,0,701,1,1304,1304,983,2287,0,0,2,0,3,2,1,7,2,0,21,1.322219295,114,0,0,0,225000,8,1953,67,1.826074803,7,4,4,3,3,21,1.662757832,114
ClearCr,121,1,938,0,0,1,938,988,0,988,1,0,1,0,1,1,1,4,2,0,130,2.113943352,0,130,0,0,180000,9,1969,51,1.707570176,6,5,3,3,3,20,1.653212514,130
ClearCr,154,1,429,1080,93,1,1602,1252,0,1252,1,0,1,0,1,1,1,4,2,409,0,0.01,0,0,0,0,235000,8,1960,60,1.77815125,6,7,3,3,3,22,1.755874856,0
ClearCr,167,1,379,768,470,1,1617,1867,0,1867,1,0,1,0,2,1,1,7,1,476,0,0.01,0,0,142,0,190000,7,1955,65,1.812913357,5,5,4,3,3,20,1.633468456,142
ClearCr,177,1,831,0,320,1,1151,1164,896,2060,0,1,2,1,4,2.5,1,8,2,0,228,2.357934847,0,0,192,0,211000,6,1988,32,1.505149978,6,5,4,3,3,21,1.681241237,192
ClearCr,250,1,697,0,747,1,1444,1444,700,2144,0,1,2,0,4,2,1,7,2,0,98,1.991226076,0,0,0,0,277000,8,1958,62,1.792391689,6,7,4,3,4,24,1.792391689,0
ClearCr,272,1,226,1063,96,1,1385,1363,0,1363,1,0,1,0,2,1,1,5,2,81,0,0.01,0,0,0,0,241500,8,1954,66,1.819543936,7,7,3,3,3,23,1.806179974,0
ClearCr,280,1,392,0,768,1,1160,1156,866,2022,0,0,2,1,4,2.5,1,8,2,288,117,2.068185862,0,0,0,0,192000,7,1977,43,1.633468456,7,5,3,3,3,21,1.698970004,0
ClearCr,352,1,1082,0,371,1,1453,1453,0,1453,1,0,1,1,2,1.5,1,6,2,0,80,1.903089987,0,0,184,0,190000,7,1986,34,1.531478917,7,5,3,3,4,22,1.716003344,184
ClearCr,359,1,300,294,468,1,1062,1352,0,1352,0,1,1,0,3,1,1,6,1,168,0,0.01,294,0,0,0,130000,7,1958,62,1.792391689,5,4,3,3,4,19,1.568201724,294
ClearCr,372,0,0,0,0,0,0,1120,468,1588,0,0,2,0,4,2,1,7,2,0,59,1.770852012,0,0,0,0,134432,14,1959,61,1.785329835,4,4,3,3,3,17,1.491361694,0
ClearCr,385,1,985,0,595,1,1580,1079,874,1953,1,0,2,1,3,2.5,1,9,2,216,231,2.36361198,0,0,0,0,240000,6,1992,28,1.447158031,6,5,4,3,4,22,1.698970004,0
ClearCr,452,1,655,0,878,1,1533,1533,0,1533,1,0,2,0,2,2,1,5,2,200,54,1.73239376,0,0,0,0,280000,8,1975,45,1.653212514,7,5,3,3,4,22,1.716003344,0
ClearCr,458,1,1116,0,248,1,1364,1663,0,1663,1,0,1,0,2,1,1,6,2,224,137,2.136720567,0,0,0,0,256000,8,1954,66,1.819543936,4,6,3,3,4,20,1.612783857,0
ClearCr,589,1,1324,0,113,1,1437,1473,0,1473,2,0,1,0,1,1,1,5,1,0,48,1.681241237,0,0,60,0,143000,8,1968,52,1.716003344,5,8,3,3,5,24,1.770852012,60
ClearCr,683,1,1003,0,288,1,1291,1291,0,1291,1,0,1,0,2,1,1,6,2,307,0,0.01,0,0,0,0,173000,9,1996,24,1.380211242,6,5,3,3,4,21,1.672097858,0
ClearCr,707,1,1219,0,424,1,1643,1824,0,1824,1,0,2,0,2,2,1,5,2,380,48,1.681241237,0,0,0,0,302000,8,1971,49,1.69019608,7,5,3,3,4,22,1.716003344,0
ClearCr,790,1,568,0,264,1,832,976,1111,2087,0,0,2,1,5,2.5,1,9,2,133,168,2.225309282,0,0,0,0,187500,7,1966,54,1.73239376,6,8,3,3,4,24,1.812913357,0
ClearCr,801,1,462,0,154,1,616,616,1072,1688,1,0,2,1,4,2.5,1,8,2,403,114,2.056904851,185,0,0,0,200000,5,1997,23,1.361727836,6,5,3,3,4,21,1.672097858,185
ClearCr,819,1,504,0,506,1,1010,1052,0,1052,1,0,1,0,3,1,1,6,2,0,0,0.01,0,0,0,0,155000,10,1971,49,1.69019608,6,7,3,3,3,22,1.755874856,0
ClearCr,829,1,249,764,0,1,1013,1160,966,2126,0,1,2,1,3,2.5,1,7,2,486,0,0.01,0,0,225,0,185000,6,1967,53,1.72427587,5,5,3,3,3,19,1.602059991,225
ClearCr,849,0,0,0,907,1,907,1307,1051,2358,0,0,3,0,5,3,1,10,2,486,40,1.602059991,0,0,175,0,240000,9,1908,112,2.049218023,6,8,3,3,3,23,1.799340549,175
ClearCr,940,0,0,0,1032,1,1032,1207,1196,2403,0,0,2,0,4,2,1,10,1,56,0,0.01,318,0,0,0,244400,10,1940,80,1.903089987,7,7,3,4,3,24,1.826074803,318
ClearCr,1066,1,1201,0,105,1,1306,1306,954,2260,1,0,2,1,3,2.5,1,7,2,296,44,1.643452676,0,0,0,0,328000,6,1996,24,1.380211242,7,5,4,3,4,23,1.740362689,0
ClearCr,1174,1,152,469,977,1,1598,1636,971,3086,0,0,3,0,3,3,1,12,0,122,0,0.01,0,0,0,0,200500,9,1946,74,1.86923172,5,6,3,3,5,22,1.69019608,0
ClearCr,1263,0,0,0,1104,1,1104,1104,684,1788,1,0,1,0,5,1,1,8,1,120,0,0.01,0,0,0,0,161500,10,1957,63,1.799340549,4,5,3,3,3,18,1.544068044,0
ClearCr,1271,1,1258,0,74,1,1332,1332,192,1524,2,0,0,1,0,0.5,1,4,2,268,0,0.01,0,0,0,0,260000,9,1979,41,1.612783857,7,6,4,3,4,24,1.792391689,0
ClearCr,1288,1,812,0,812,1,1624,1582,0,1582,0,1,2,0,4,2,1,7,2,168,198,2.29666519,0,0,0,0,190000,8,1964,56,1.748188027,5,5,3,4,3,20,1.633468456,0
CollgCr,1,1,706,0,150,1,856,856,854,1710,1,0,2,1,3,2.5,1,8,2,0,61,1.785329835,0,0,0,0,208500,7,2003,17,1.230448921,7,5,4,3,4,23,1.740362689,0
CollgCr,3,1,486,0,434,1,920,920,866,1786,1,0,2,1,3,2.5,1,6,2,0,42,1.62324929,0,0,0,0,223500,7,2001,19,1.278753601,7,5,4,3,4,23,1.740362689,0
CollgCr,14,0,0,0,1494,1,1494,1494,0,1494,0,0,2,0,3,2,1,7,3,160,33,1.51851394,0,0,0,0,279500,11,2006,14,1.146128036,7,5,4,3,4,23,1.740362689,0
CollgCr,23,0,0,0,1777,1,1777,1795,0,1795,0,0,2,0,3,2,1,7,2,171,159,2.201397124,0,0,0,0,230000,11,2002,18,1.255272505,8,5,4,3,4,24,1.77815125,0
CollgCr,33,0,0,0,1234,1,1234,1234,0,1234,0,0,2,0,3,2,1,7,2,0,30,1.477121255,0,0,0,0,179900,12,2007,13,1.113943352,8,5,4,3,4,24,1.77815125,0
CollgCr,37,0,0,0,1097,1,1097,1097,0,1097,0,0,1,1,3,1.5,1,6,2,392,64,1.806179974,0,0,0,0,145000,10,1994,26,1.414973348,5,5,3,3,3,19,1.602059991,0
CollgCr,44,1,280,491,167,1,938,938,0,938,1,0,1,0,3,1,1,5,1,145,0,0.01,0,0,0,0,130250,8,1975,45,1.653212514,5,6,3,3,3,20,1.653212514,0
CollgCr,58,0,0,0,860,1,860,860,860,1720,0,0,2,1,3,2.5,1,7,2,0,70,1.84509804,0,0,0,0,196500,10,2004,16,1.204119983,7,5,4,3,4,23,1.740362689,0
CollgCr,60,1,632,0,148,1,780,780,0,780,0,0,1,0,2,1,1,4,1,196,0,0.01,0,0,0,0,124900,10,1972,48,1.681241237,5,7,3,3,3,21,1.698970004,0
CollgCr,65,1,739,0,318,1,1057,1057,977,2034,1,0,2,1,3,2.5,1,8,2,576,36,1.556302501,0,0,0,0,219500,6,1997,23,1.361727836,7,5,3,3,4,22,1.716003344,0
CollgCr,68,1,1013,0,440,1,1453,1479,0,1479,1,0,2,0,3,2,1,7,2,144,29,1.462397998,0,0,0,0,226000,8,2003,17,1.230448921,7,5,4,3,4,23,1.740362689,0
CollgCr,90,1,588,0,402,1,990,990,0,990,1,0,1,0,3,1,1,5,0,0,0,0.01,0,0,0,0,123600,11,1994,26,1.414973348,4,5,3,3,3,18,1.544068044,0
CollgCr,95,1,648,0,176,1,824,905,881,1786,1,0,2,1,3,2.5,1,7,2,0,162,2.209515015,0,0,0,0,204750,7,1997,23,1.361727836,6,5,3,4,4,22,1.698970004,0
